source_id,source_name,canonical_source_id,population,spin_hz,distance_kpc,temperature_constraint,thermal_basis,surface_temperature_inf_k,surface_temperature_inf_lower_k,surface_temperature_inf_upper_k,core_temperature_inf_reference_k,core_temperature_inf_lower_k,core_temperature_inf_upper_k,input_observable,interval_description,spectral_band,surface_emission_model,spin_evidence,spin_reference,thermal_reference,spin_url,thermal_url,catalogue_locator,notes
1,IGR J00291+5934,IGRJ002915934,rapid accreting transient,598.8921309,,two_sided_estimate,conditional,567693.02650623,517793.5985835646,608308.8399316553,21110306.295702457,14217009.86005191,62738678.77291991,"kT_eff^infinity=48.92 eV [44.62,52.42]",90% interval; see the cited study for its statistical definition,atmosphere-model effective temperature,NSATMOS,coherent_accretion_pulsation,Spin_igr00291,Therm_igr00291,https://doi.org/10.1093/mnras/stw3332,https://doi.org/10.1086/595867,spin: Sanna et al. 2017 MNRAS 466 2910; thermal: Campana et al. 2008 ApJL 689 L129,The hard component contributes more than 60% of the unabsorbed 0.5–10 keV flux. The thermal estimate is conditional on the spectral decomposition. The spin frequency is from the phase-connected timing solution of Sanna et al. (2017). The frequently quoted 64 eV is the local NSATMOS temperature; the catalogue uses the redshifted temperature.
2,MXB 1659-29,MXB165929,rapid accreting transient,567.0,,two_sided_estimate,strict,626643.9785637044,603434.9423206042,649853.0148068046,25554692.47760033,18309744.216033325,70666221.79361016,"kT_eff^infinity=54.0 eV [52.0,56.0]",Interval given in the cited study; no common confidence level assigned,atmosphere-model effective temperature,NSATMOS,thermonuclear_burst_oscillation,Spin_mxb1659,Therm_mxb1659,https://doi.org/10.1086/319128,https://doi.org/10.1086/593703,spin: Wijnands et al. 2001 ApJL 549 L71; thermal: Cackett et al. 2008 ApJL 687 L87,"The adopted temperature describes the late cooling plateau, after the early phase of crust relaxation."
3,SAX J1810.8-2609,SAXJ181082609,rapid accreting transient,531.8,,two_sided_estimate,conditional,639873.1292222715,604363.3037703282,675382.9546742148,26635884.199026473,18356327.65708148,75737870.047494,"kT_eff^infinity=55.14 eV [52.08,58.20]",Interval given in the cited study; no common confidence level assigned,atmosphere-model effective temperature,NSA,thermonuclear_burst_oscillation,Spin_saxj1810,Therm_saxj1810,https://doi.org/10.3847/2041-8213/aad09c,https://doi.org/10.1111/j.1365-2966.2004.07455.x,spin: Bilous et al. 2018 ApJL 862 L4; thermal: Jonker et al. 2004 MNRAS 349 94,A steep power-law spectrum provides a comparably good fit. The thermal estimate is conditional on the atmosphere interpretation.
4,KS 1731-260,KS1731260,rapid accreting transient,524.5,,two_sided_estimate,strict,747330.9670278253,733405.5452819652,761256.3887736853,36758426.02035338,25275804.0135317,93895495.55178107,"kT_eff^infinity=64.4 eV [63.2,65.6]",Interval given in the cited study; no common confidence level assigned,atmosphere-model effective temperature,NSATMOS,thermonuclear_burst_oscillation,Spin_ks1731,Therm_ks1731,https://doi.org/10.1086/317031,https://doi.org/10.3847/1538-4357/833/2/186,spin: Muno et al. 2000 ApJ 542 1016; thermal: Merritt et al. 2016 ApJ 833 186,The spin frequency is the one-decimal summary of the asymptotic burst frequencies measured by Muno et al. (2000). The 2015 observation is consistent with a crust–core equilibrium plateau.
5,SAX J1748.9-2021,SAXJ174892021,rapid accreting transient,442.36108118,,two_sided_estimate,strict,1009593.0765748572,964103.3655383808,1033150.2483616038,75190911.20092341,39722317.81452305,162154280.8875725,"kT_eff^infinity=87.00 eV [83.08,89.03]",90% interval; see the cited study for its statistical definition,atmosphere-model effective temperature,NSATMOS,coherent_accretion_pulsation,Spin_saxj1748,Therm_saxj1748,https://doi.org/10.1088/0004-637X/690/2/1856,https://doi.org/10.1093/mnras/stv1585,spin: Patruno et al. 2009 ApJ 690 1856; thermal: Bahramian et al. 2015 MNRAS 452 3475,The spin frequency is from the phase-coherent timing solution. The cited cluster study treats source identification in the crowded field and interstellar absorption.
6,Swift J1749.4-2807,SWIFTJ174942807,rapid accreting transient,517.92001395,,upper_limit,upper_limit,1160451.812155008,,1160451.812155008,199517827.9481902,,199517827.9481902,published kT_eff^infinity < 100.0 eV,Literature compilation; confidence levels vary among sources,0.01-100 keV,hydrogen_atmosphere,coherent_accretion_pulsation,Spin_swift1749,Degenaar2012,https://doi.org/10.1088/2041-8205/727/1/L18,https://doi.org/10.1088/0004-637X/756/2/148,spin: Altamirano et al. 2011 ApJL 727 L18; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148,The cited study gives upper limits on the surface temperature and bolometric thermal luminosity.
7,XTE J1751-305,XTEJ1751305,rapid accreting transient,435.31799357,,upper_limit,upper_limit,812316.2685085057,,812316.2685085057,105481438.37485649,,105481438.37485649,published kT_eff^infinity < 70.0 eV,Literature compilation; confidence levels vary among sources,atmosphere-model effective temperature,hydrogen_atmosphere,coherent_accretion_pulsation,Spin_xtej1751,Degenaar2012,https://doi.org/10.1111/j.1365-2966.2007.12551.x,https://doi.org/10.1088/0004-637X/756/2/148,spin: Papitto et al. 2008 MNRAS 383 411; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148,The Degenaar et al. (2012) compilation gives the surface-temperature upper limit for whole-surface atmosphere emission; the spin frequency is the phase-connected timing value of Papitto et al. (2008).
8,SAX J1808.4-3658,SAXJ180843658,rapid accreting transient,400.97521,,upper_limit,upper_limit,348135.5436465024,,348135.5436465024,22671763.3839166,,22671763.3839166,published kT_eff^infinity < 30.0 eV,90% interval; see the cited study for its statistical definition,0.01-10 keV,NSATMOS,coherent_accretion_pulsation,Spin_sax1808,Therm_sax1808,https://doi.org/10.1038/28561,https://doi.org/10.1088/0004-637X/691/2/1035,spin: Chakrabarty and Morgan 1998 Nature 394 346; thermal: Heinke et al. 2009 ApJ 691 1035,The quiescent spectrum is dominated by a hard component; the atmosphere component has only an upper limit.
9,IGR J17498-2921,IGRJ174982921,rapid accreting transient,400.99018734,,upper_limit,upper_limit,928361.4497240064,,928361.4497240064,133951560.30288243,,133951560.30288243,compiled kT_eff^infinity <= 80.0 eV,Literature compilation; confidence levels vary among sources,atmosphere-model effective temperature,hydrogen_atmosphere,coherent_accretion_pulsation,Spin_igr17498,Degenaar2012,https://doi.org/10.1051/0004-6361/201117995,https://doi.org/10.1088/0004-637X/756/2/148,spin: Papitto et al. 2011 A&A 535 L4; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148,"Degenaar et al. (2012), Table 2, lists a temperature of approximately 0.08 keV among the detections but notes that the spectral shape is poorly constrained. This compilation adopts that value as a conservative temperature ceiling; it is not a published confidence bound."
10,XTE J1814-338,XTEJ1814338,rapid accreting transient,314.35610879,,upper_limit,upper_limit,812316.2685085057,,812316.2685085057,105481438.37485649,,105481438.37485649,published kT_eff^infinity < 70.0 eV,Literature compilation; confidence levels vary among sources,atmosphere-model effective temperature,hydrogen_atmosphere,coherent_accretion_pulsation,Spin_xtej1814,Degenaar2012,https://doi.org/10.1111/j.1365-2966.2006.11359.x,https://doi.org/10.1088/0004-637X/756/2/148,spin: Papitto et al. 2007 MNRAS 375 971; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148,The Degenaar et al. (2012) compilation gives the surface-temperature upper limit for whole-surface atmosphere emission; the spin frequency is the phase-connected timing value of Papitto et al. (2007).
